time,stations,station_x_coordinate,station_y_coordinate,MSL
2014-01-01,218,27.429000000000002,36.409,0.045
2014-01-01,219,27.136,36.57,0.045
2014-01-01,220,27.195,36.599000000000004,0.045
2014-01-01,221,26.301000000000002,36.526,0.046
2014-01-01,222,26.272000000000002,36.599000000000004,0.046
2014-01-01,223,26.347,36.636,0.046
2014-01-01,224,26.433,36.614,0.046
2014-01-01,225,26.404,36.57,0.046
2014-01-01,226,24.954,36.614,0.047
2014-01-01,227,24.866,36.628,0.047
2014-01-01,228,24.91,36.628,0.047
2014-01-01,229,25.1,36.643,0.047
2014-01-01,230,25.115000000000002,36.702,0.047
2014-01-01,231,25.21,36.716,0.047
2014-01-01,232,25.144000000000002,36.672000000000004,0.047
2014-01-01,233,25.334,36.658,0.047
2014-01-01,234,25.261,36.716,0.046
2014-01-01,235,25.291,36.775,0.046
2014-01-01,236,25.386,36.76,0.046
2014-01-01,237,12.034,36.746,0.046
2014-01-01,238,12.034,36.804,0.046
2014-01-01,239,24.661,36.76,0.047
2014-01-01,240,24.558,36.731,0.047
2014-01-01,241,24.5,36.672000000000004,0.047
2014-01-01,242,24.412,36.658,0.047
2014-01-01,243,24.324,36.658,0.047
2014-01-01,244,24.338,36.731,0.047
2014-01-01,245,24.412,36.76,0.047
2014-01-01,246,24.5,36.775,0.047
2014-01-01,247,24.558,36.848,0.046
2014-01-01,248,24.631,36.812,0.046
2014-01-01,249,25.613,36.892,0.045
2014-01-01,250,25.789,36.775,0.046
2014-01-01,251,25.774,36.804,0.046
2014-01-01,252,25.847,36.848,0.046
2014-01-01,253,25.935000000000002,36.892,0.046
2014-01-01,254,26.008,36.936,0.046
2014-01-01,255,26.052,36.892,0.046
2014-01-01,256,25.964000000000002,36.863,0.046
2014-01-01,257,25.891000000000002,36.804,0.046
2014-01-01,258,25.818,36.775,0.046
2014-01-01,259,24.719,36.921,0.046
2014-01-01,260,24.661,36.995,0.046
2014-01-01,261,24.69,37.046,0.046
2014-01-01,262,24.749,36.965,0.046
2014-01-01,263,25.789,37.126,0.045
2014-01-01,264,26.96,36.921,0.045
2014-01-01,265,26.917,36.980000000000004,0.045
2014-01-01,266,26.887,37.068,0.044
2014-01-01,267,26.829,37.112,0.044
2014-01-01,268,26.814,37.185,0.044
2014-01-01,269,26.873,37.156,0.044
2014-01-01,270,26.917,37.083,0.044
2014-01-01,271,27.004,37.039,0.045
2014-01-01,272,27.048000000000002,36.965,0.045
2014-01-01,273,25.583000000000002,37.141,0.045
2014-01-01,274,25.598,37.053,0.046
2014-01-01,275,25.554000000000002,36.980000000000004,0.046
2014-01-01,276,25.51,36.907000000000004,0.046
2014-01-01,277,25.466,36.833,0.046
2014-01-01,278,25.452,36.892,0.046
2014-01-01,279,25.408,36.965,0.046
2014-01-01,280,25.364,37.039,0.046
2014-01-01,281,25.276,37.039,0.045
2014-01-01,282,25.203,36.995,0.046
2014-01-01,283,25.115000000000002,36.980000000000004,0.046
2014-01-01,284,25.056,36.965,0.046
2014-01-01,285,25.085,37.053,0.046
2014-01-01,286,25.144000000000002,37.112,0.046
2014-01-01,287,25.232,37.141,0.045
2014-01-01,288,25.32,37.126,0.045
2014-01-01,289,25.393,37.126,0.045
2014-01-01,290,25.481,37.17,0.045
2014-01-01,291,25.554000000000002,37.185,0.045
2014-01-01,292,24.5,37.112,0.046
2014-01-01,293,24.426000000000002,37.141,0.046
2014-01-01,294,24.456,37.2,0.045
2014-01-01,295,24.529,37.17,0.046
2014-01-01,296,26.536,37.288000000000004,0.044
2014-01-01,297,26.55,37.361000000000004,0.044
2014-01-01,298,26.594,37.317,0.044
2014-01-01,299,24.382,37.332,0.045
2014-01-01,300,24.382,37.419000000000004,0.045
2014-01-01,301,24.441,37.478,0.045
2014-01-01,302,24.47,37.405,0.045
2014-01-01,303,24.426000000000002,37.332,0.045
2014-01-01,304,24.866,37.419000000000004,0.045
2014-01-01,305,24.895,37.493,0.045
2014-01-01,306,24.954,37.449,0.045
2014-01-01,307,24.924,37.375,0.045
2014-01-01,308,25.349,37.405,0.045
2014-01-01,309,25.305,37.478,0.044
2014-01-01,310,25.378,37.493,0.045
2014-01-01,311,25.452,37.463,0.044
2014-01-01,312,24.719,37.581,0.044
2014-01-01,313,24.705000000000002,37.625,0.044
2014-01-01,314,26.331,37.639,0.043
2014-01-01,315,26.257,37.595,0.044
2014-01-01,316,26.177,37.566,0.044
2014-01-01,317,26.082,37.537,0.044
2014-01-01,318,25.994,37.522,0.044
2014-01-01,319,26.008,37.581,0.044
2014-01-01,320,26.067,37.639,0.044
2014-01-01,321,26.169,37.639,0.044
2014-01-01,322,26.257,37.654,0.044
2014-01-01,323,26.331,37.683,0.043
2014-01-01,324,24.324,37.537,0.044
2014-01-01,325,24.28,37.566,0.044
2014-01-01,326,24.28,37.654,0.044
2014-01-01,327,24.368000000000002,37.683,0.044
